Line,Route
S1,"Freising, Pulling, Neufahrn"
S1,"Munich Airport, Flughafen Besucherpark, Neufahrn, Eching, Lohhof, Unterschleissheim, Oberschleissheim, Feldmoching, Fasanerie, Moosach, Laim, Hirschgarten, Donnersbergerbruecke, Hackerbruecke, Hauptbahnhof, Karlsplatz, Marienplatz, Isartor, Rosenheimer Platz, Ostbahnhof"
S2,"Petershausen, Vierkirchen-Esterhofen, Roehrmoos, Hebertshausen, Dachau"
S2,"Altomuenster, Kleinberghofen, Erdweg, Arnbach, Markt Indersdorf, Niederroth, Schwabhausen, Bachern, Dachau Stadt, Dachau"
S2,"Dachau, Karlsfeld, Allach, Untermenzing, Obermenzing, Laim, Hirschgarten, Donnersbergerbruecke, Hackerbruecke, Hauptbahnhof, Karlsplatz, Marienplatz, Isartor, Ostbahnhof, Leuchtenbergring, Berg am Laim, Riem, Feldkirchen, Heimstetten, Grub, Poing, Markt Schwaben"
S2,"Markt Schwaben, Ottenhofen, St. Kolomann, Aufhausen, Altenerding, Erding"
S3,"Mammendorf, Malching, Maisach"
S3,"Maisach, Gernlinden, Esting, Olching, Groebenzell, Lochhausen, Langwied, Pasing, Laim, Hirschgarten, Donnersbergerbruecke, Hackerbruecke, Hauptbahnhof, Karlsplatz, Marienplatz, Isartor, Rosenheimer Platz, Ostbahnhof, St.-Martin-Strasse, Giesing, Fasangarten, Fasanenpark, Unterhaching, Taufkirchen, Furth, Deisenhofen"
S4,"Deisenhofen, Sauerlach, Otterfing, Holzkirchen"
S4,"Geltendorf, Tuerkenfeld, Grafrath, Schoengeising, Buchenau"
S4,"Grafrath, Schoengeising, Buchenau, Fuerstenfeldbruck, Eichenau, Puchheim, Aubing, Leienfelsstrasse, Pasing, Laim, Hirschgarten, Donnersbergerbruecke, Hackerbruecke, Hauptbahnhof, Karlsplatz, Marienplatz, Isartor, Rosenheimer Platz, Ostbahnhof, Leuchtenbergring, Berg am Laim, Trudering"
S4,"Trudering, Gronsdorf, Haar, Vaterstetten, Baldham, Zorneding, Eglharting, Kirchseeon, Grafing station"
S6,"Tutzing, Feldafing, Possenhofen, Starnberg"
S6,"Starnberg, Starnberg Nord, Gauting, Stockdorf, Planegg, Graefelfing, Lochham, Westkreuz, Pasing, Laim, Hirschgarten, Donnersbergerbruecke, Hackerbruecke, Hauptbahnhof, Karlsplatz, Marienplatz, Isartor, Rosenheimer Platz, Ostbahnhof, Leuchtenbergring, Berg am Laim, Trudering, Gronsdorf, Haar, Vaterstetten, Baldham, Zorneding, Eglharting, Kirchseeon, Grafing Station"
S7,"Wolfratshausen, Icking, Ebenhausen-Schaeftlarn, Hohenschaeftlarn, Baierbrunn, Buchenhain, Hoellriegelskreuth"
S7,"Hoellriegelskreuth, Pullach, Grosshesselohe Isartalbahnhof, Solln, Siemenswerke, Mittersendling, Harras, Heimeranplatz, Donnersbergerbruecke, Hackerbruecke, Hauptbahnhof, Karlsplatz, Muenchen Marienplatz station, Isartor, Rosenheimer Platz, Ostbahnhof, St.-Martin-Strasse, Giesing, Perlach, Neuperlach Sued, Neubiberg, Ottobrunn, Hohenbrunn, Waechterhof, Hoehenkirchen-Siegertsbrunn"
S7,"Hoehenkirchen-Siegertsbrunn, Duerrnhaar, Aying"
S7,"Aying, Peiss, Grosshelfendorf, Kreuzstrasse"
S8,"Herrsching, Seefeld-Hechendorf, Steinebach, Wessling"
S8,"Wessling, Neugilching, Gilching-Argelsried, Geisenbrunn, Germering-Unterpfaffenhofen, Harthaus, Freiham, Neuaubing, Westkreuz, Pasing, Laim, Hirschgarten, Donnersbergerbruecke, Hackerbruecke, Hauptbahnhof, Karlsplatz, Marienplatz, Isartor, Rosenheimer Platz, Ostbahnhof, Leuchtenbergring, Daglfing, Englschalking, Johanneskirchen, Unterfoehring, Ismaning, Hallbergmoos, Flughafen Besucherpark, Munich Airport"
S20,"Pasing, Heimeranplatz, Mittersendling, Siemenswerke, Solln, Grosshesselohe Isartalbahnhof, Pullach, Hoellriegelskreuth"
